SiteId,Site_Name,Site_Brand,Sites_Address_Line_1,Site_Suburb,Site_State,Site_Post_Code,Site_Latitude,Site_Longitude
61401235,BP Boulevarde,BP,204 Hornibrook Esplanade,Woody Point,QLD,4019,-27.255781,153.094537
61401238,Red Dog Petroleum,Independent,1256 Anzac Avenue,Kallangur,QLD,4503,-27.254668,152.981878
61401246,7-Eleven Strathpine,7 Eleven,273 Gympie Road,Strathpine,QLD,4500,-27.307684,152.990428
61401249,7-Eleven Eatons Hill,7 Eleven,South Pine Road,Eatons Hill,QLD,4037,-27.337813,152.960299
61401250,7-Eleven Bald Hills,7 Eleven,2203 Gympie Road,Bald Hills,QLD,4036,-27.319246,153.006877
61401252,U-Go Bracken Ridge,U-Go,168 Barrett Street,Bracken Ridge,QLD,4017,-27.319432,153.040903
61401254,Pacific Petroleum Deagon,Pacific Petroleum,106 Board Street,Deagon,QLD,4017,-27.324889,153.059401
61401255,Metro Petroleum Sandgate,Metro Fuel,57 Rainbow Street,Sandgate,QLD,4017,-27.321586,153.067669
61401257,7-Eleven Sandgate,7 Eleven,86 Rainbow Street,Sandgate,QLD,4017,-27.321088,153.067861
61401258,BP Bracken Ridge,BP,508 Telegraph Road,Bracken Ridge,QLD,4017,-27.331009,153.042004
61401261,EG Ampol Deagon,EG Ampol,180 Braun Street,Deagon,QLD,4017,-27.333895,153.059755
61401263,Caltex Zillmere,Caltex,445 Robinson Rd,Zillmere,QLD,4034,-27.366586,153.037081
61401264,7-Eleven Aspley,7 Eleven,1429 Gympie Road,Aspley,QLD,4034,-27.358333,153.017227
61401265,Coles Express Aspley,Coles Express,1412 Gympie Road,Aspley,QLD,4034,-27.359821,153.016417
61401268,BP Aspley,BP,1316 Gympie Road,Aspley,QLD,4034,-27.365464,153.016693
61401272,Coles Express Stafford Heights,Coles Express,280 740 Rode Rd (Cnr Appleby Rd) Road,Stafford Heights,QLD,4053,-27.391717,153.011632
61401276,7-Eleven Aspley,7 Eleven,581 Robinson Road West,Aspley,QLD,4034,-27.364918,153.026137
61401279,BP Connect Virginia,BP,1830 Sandgate Road,Virginia,QLD,4014,-27.374083,153.062026
61401280,Shell Reddy Express Geebung,Reddy Express,361 Ellison Rd (Cnr Murphy Rd) Road,Geebung,QLD,4034,-27.373966,153.035794
61401281,EG Ampol Chermside,EG Ampol,725 Webster Road,Chermside,QLD,4032,-27.374887,153.024406
61401282,BP Geebung,BP,145 Newman Road,Geebung,QLD,4034,-27.379303,153.046249
61401288,Caltex Nundah,Caltex,1508 Sandgate Road,Nundah,QLD,4012,-27.391876,153.058717
61401291,Ampol Foodary Nundah,Ampol,1401 Sandgate Road,Nundah,QLD,4012,-27.398563,153.059422
61401292,Ampol Foodary West Chermside,Ampol,644 Webster Road,Chermside West,QLD,4032,-27.380107,153.022447
61401296,Freedom Fuels Nudgee,Freedom Fuels,948 Nudgee Road,Banyo,QLD,4014,-27.386821,153.086893
61401298,BP Northgate,BP,215 Toombul Road,Northgate,QLD,4013,-27.393088,153.072382
61401301,Ampol Foodary Arana Hills,Ampol,282 Dawson Parade,Arana Hills,QLD,4054,-27.396874,152.960839
61401302,Coles Express Arana Hills,Coles Express,17 Patricks Road,Arana Hills,QLD,4054,-27.397684,152.958871
61401307,BP Ferny Grove,BP,1312 Samford Road,Ferny Grove,QLD,4055,-27.402322,152.937106
